artist,album,release-date,listeners,playcount,tags,ignored tags
Arsis,A Celebration of Guilt,2004-03-30,58384,1047610,['death metal'],"['Melodic Death Metal', 'Technical Death Metal', 'metal', 'Progressive metal']"
Metallica,Kill 'Em All,1983-07-25,582246,14372137,"['thrash metal', 'heavy metal', 'speed metal']","['albums I own', 'metal']"
Helloween,7 Sinners,2010-10-27,58205,1714048,['heavy metal'],"['Power metal', '2010', 'albums I own', 'best of 2010']"
Meshuggah,Catch ThirtyThree,2005-04-21,57578,1854115,[],"['Progressive metal', 'math metal', 'concept album', 'Technical Metal', '2005']"
Kreator,Hordes of Chaos,2009-01-13,56793,2276838,['thrash metal'],"['2009', 'german thrash metal', 'metal', 'albums I own']"
Rottrevore,Iniquitous,1993,5679,124787,['death metal'],"['old school death metal', 'albums I own']"
Atheist,Unquestionable Presence,1991-08-30,56385,985032,['death metal'],"['Technical Death Metal', 'progressive death metal', '1991', 'Progressive metal']"
Pantera,Cowboys From Hell,1990-07-24,562181,14509493,"['thrash metal', 'heavy metal']","['albums I own', 'groove metal', 'metal']"
Morbid Angel,Gateways To Annihilation,2000-10-17,56051,1000924,['death metal'],"['2000', 'albums I own', 'old school death metal', 'metal']"
Tristania,Beyond the Veil,1999-09,55815,1751979,"['symphonic metal', 'doom metal']","['Gothic Metal', 'albums I own', 'Gothic Doom Metal']"
Wolves in the Throne Room,Two Hunters,2007-09-25,55684,965785,"['black metal', 'ambient black metal']","['atmospheric black metal', '2007', 'albums I own']"
Iced Earth,Iced Earth,1990-11,55544,670996,"['thrash metal', 'heavy metal']","['Power metal', 'albums I own', 'metal']"
Blut aus Nord,Memoria Vetusta II: Dialogue With The Stars,2009-02-23,5550,190927,"['black metal', 'ambient black metal']","['atmospheric black metal', '2009', 'ambient']"
Bathory,Blood on Ice,1996-05-27,55147,1722983,"['viking metal', 'folk metal', 'black metal']","['1996', 'albums I own']"
Judas Priest,British Steel,1980-04-14,550306,5316537,['heavy metal'],"['albums I own', 'hard rock', '1980', 'metal']"
Summoning,Minas Morgul,1995-10-16,54964,1751984,['black metal'],"['atmospheric black metal', 'epic black metal', 'epic', '90s']"
Iron Maiden,Piece of Mind,1983-05-16,548315,8326262,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1983']"
Overkill,Feel the Fire,1985-04,54826,910368,"['thrash metal', 'speed metal', 'heavy metal']","['thrash', '1985']"
Arghoslent,Hornets of the Pogrom,2008-03-03,5479,200282,"['heavy metal', 'death metal']","['Melodic Death Metal', 'best of 2008', 'NS Metal']"
Obscura,Cosmogenesis,2009-02-17,54634,1513251,['death metal'],"['Technical Death Metal', 'progressive death metal', 'Progressive metal', '2009']"
Lost Horizon,Awakening The World,2001-06-12,54631,733335,['heavy metal'],"['Power metal', 'metal', 'Progressive metal', '2001']"
Pantera,Power Metal,1988,54600,1081594,"['heavy metal', 'speed metal']","['Glam Metal', 'Power metal', 'metal']"
Blind Guardian,Beyond the Red Mirror,2015-01-28,54257,1309466,"['symphonic metal', 'heavy metal']","['Power metal', '2015', 'Progressive metal']"
Obituary,Slowly We Rot,1989,54241,1251125,['death metal'],"['old school death metal', '1989', 'albums I own', 'metal']"
Carcass,Reek of Putrefaction,1988-06,54163,1627173,"['goregrind', 'grindcore', 'death metal']","['1988', 'metal']"
Testament,Dark Roots of Earth,2012-07-27,54058,1356418,['thrash metal'],"['2012', 'metal', 'albums I own', 'jesus i want to vomit']"
Obituary,Cause of Death,1990-09-19,54003,1089442,"['death metal', 'thrash metal']","['albums I own', 'old school death metal', '1990']"
Megadeth,Rust In Peace,1990-09-21,537845,12966042,"['thrash metal', 'speed metal', 'heavy metal']","['albums I own', 'metal']"
Bolt Thrower,Mercenary,1998-11-21,53774,1060540,['death metal'],"['albums I own', 'old school death metal', '1998', 'Brutal Death Metal']"
Metal Church,Metal Church,1984,53649,782592,"['thrash metal', 'heavy metal']","['1984', 'albums I own', 'Megadeth']"
Anthrax,Worship Music,2011-09-13,53158,1462004,"['thrash metal', 'heavy metal']","['2011', 'metal', 'albums I own']"
Suffocation,Pierced From Within,1995-05-23,53145,976763,['death metal'],"['Brutal Death Metal', 'Technical Death Metal', '1995', 'albums I own']"
Manowar,Hail to England,1984-07,52993,901759,['heavy metal'],"['Power metal', '1984', 'metal', '80s']"
Vital Remains,Dechristianize,2003-08-22,52771,921919,['death metal'],"['Brutal Death Metal', '2003', 'Technical Death Metal', 'old school death metal']"
