artist,album,release-date,listeners,playcount,tags,ignored tags
W.A.S.P.,The Crimson Idol,1992-06-27,104759,1463576,['heavy metal'],"['1992', 'albums I own', 'concept album', 'hard rock']"
Dream Theater,A Dramatic Turn of Events,2011-09-07,104665,3900726,[],"['Progressive metal', '2011', 'albums I own', 'best of 2011', 'Progressive rock']"
Cradle of Filth,Cruelty and the Beast,1998-05-04,104444,1749380,['black metal'],"['albums I own', 'Symphonic Black Metal', 'Gothic Metal', 'Extreme Gothic Metal']"
Blut aus Nord,Ultima Thulée,1995-01-15,10407,238704,['black metal'],"['atmospheric black metal', '1995', 'dark ambient', 'metal']"
Annihilator,Alice in Hell,1989-07-05,103029,2051413,"['thrash metal', 'speed metal', 'heavy metal']","['albums I own', '1989']"
Strapping Young Lad,The New Black,2006-07-11,102972,2607268,['death metal'],"['albums I own', 'Progressive metal', 'industrial metal', 'metal']"
Dimmu Borgir,Abrahadabra,2010-09-22,102859,3336732,"['black metal', 'symphonic metal']","['Symphonic Black Metal', 'albums I own', '2010']"
Death,Spiritual Healing,1990-02-16,102615,2094974,['death metal'],"['albums I own', 'Technical Death Metal', '1990', 'metal']"
Judas Priest,Ram It Down,1988-05-17,102456,1342565,['heavy metal'],"['albums I own', '1988', 'metal', 'hard rock']"
Dream Theater,When Dream And Day Unite,1989-03-06,102334,1662030,[],"['Progressive metal', 'Progressive rock', 'albums I own', 'Dream Theater', 'metal']"
Iced Earth,Night of the Stormrider,1991-11-01,101988,1145463,"['heavy metal', 'thrash metal']","['Power metal', 'albums I own', 'metal']"
Behemoth,Satanica,1999-10,100972,1848288,"['death metal', 'black metal']","['Blackened Death Metal', 'albums I own', 'polish']"
Cannibal Corpse,The Bleeding,1994-03,100964,1694617,['death metal'],"['Brutal Death Metal', 'albums I own', '1994', 'Technical Death Metal']"
Meshuggah,Chaosphere,1998-11-09,100623,1943981,['death metal'],"['Progressive metal', 'math metal', '1998', 'albums I own']"
Darkthrone,A Blaze in the Northern Sky,1992-03-02,100278,1581761,['black metal'],"['albums I own', 'Norwegian Black Metal', '1992', 'True Norwegian Black Metal']"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
